lat,long,Blk,Original Build Date,Number of Food Stalls,Region,Number of Market Stalls,Name,Description,Address
1.381024867,103.8406823,628,31/12/1979,52,North,166,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),"Originally built in 1979, the hawker centre is located opposite Yio Chu Kang CC and near schools, temples and residential flats.   After the upgrading in 2010, the rebuilt centre consists of  52 cooked food stalls and 166 market stalls to serve the marketingand dining needs of patrons.","Blk 628, Ang Mo Kio Ave 4, Singapore 560628"
1.303781973,103.7642644,726,29/11/1980,60,West,135,Clementi West Street 2 Blk 726,"Built in 1980, the hawker centre at Blk 726 Clementi West Street 2 consists of 60 cooked food stalls and 135 market stalls. The centre is conveniently located in close proximity to schools, housing estates and shopping complex.","Blk 726, Clementi West Street 2, Singapore 120726"
1.306892276,103.8003628,31,1965,39,West,63,Commonwealth Crescent Market,The 63 market stalls are located on the lower level while the 39 cooked food stalls are located on the upper level of this two-storey market. Built in 1965 to fulfill the marketing and dining needs of residents living in the mature estate of Commonwealth Drive.,"31, Commonwealth Crescent, Singapore 149644"
1.375428967,103.882978,51,2/7/2015,40,North,0,Ci Yuan Hawker Centre,"Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls.  All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/","51 Hougang Avenue 9, Singapore 538776"
1.288822102,103.827358,38A,1965,32,Central,62,Beo Crescent Market,"Located near to Tiong Bahru MRT station and PSB Academy, Beo Crescent Market/Food Centre was built in 1965.  The centre serves the mature estate of Havelock and Tiong Bahru area.","38A, Beo Crescent, Singapore 169982"
1.286952752,103.808128,6,11/10/1974,96,Central,48,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),"Fondly known as ABC Brickworks Market, it is within close proximity to Alexandra Food Village and IKEA. The hawker centre, which was built in 1974, is another alternative for the residents of Queenstown and Bukit Merah.  Patrons can find delicious yet affordable hawker fare at the centre.","Blk 6, Jalan Bukit Merah, Singapore 150006"
1.301001465,103.8542116,270,7/8/1978,86,Central,148,Queen Street Blk 270 (Albert Centre),"Strategically located near places of interests like the famous Guan Yin Temple and Bugis Village, the hawker centre is popular with both locals and tourists alike. A wide array of good local cuisines is served by well-known stalls operating at the hawker centre.  The hawker centre is also famous for dried seafood items and textiles, sold at the lock-up stalls withiin the market section.","Blk 270, Queen Street, Singapore 180270"
1.36315712,103.8667375,49A,1957,46,North,36,Serangoon Garden Market,"Within walking distance from the famous Chomp Chomp Food Centre, the spacious Serangoon Garden Market is an alternative food paradise where residents satisfy their palates.  Equipped also with a market produce section, patrons can discover true gems within the centre.  Take a look around and you can't miss those stalls that are highly rated by food gurus!","49A, Serangoon Garden Way, Singapore 555945"
1.352007442,103.8370318,320,25/5/2000,31,North,51,Shunfu Road Blk 320 (Shunfu Mart),"Built in 2000, the hawker centre at Blk 320 Shunfu Road is the last hawker centre to be built. Also known as Shunfu Mart, the centre houses 31 cooked food stalls and 51 market stalls.","Blk 320, Shunfu Road, Singapore 570320"
1.32084835,103.7428916,37A,1/11/1976,28,West,52,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),"Located near Pandan Reservoir, the hawker centre comprises 28 cooked food stalls and 52 market stalls.  Built in 1976 to serve residents staying nearby.","Blk 37A, Teban Garden Road, Singapore 601037"
1.431447688,103.8285376,104/105,31/3/1984,56,North,123,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),"Built in 1984, the hawker centre comprises 56 cooked food stalls and 123 market stalls. Residents of Chong Pang patronise the centre for its wide selection of local cuisines.","Blk 104/105, Yishun Ring Road, Singapore 760104/760105"
1.372769928,103.8544828,527,24/12/1979,50,North,100,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),"Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.","Blk 527, Ang Mo Kio Ave 10, Singapore 560527"
1.364228523,103.8665361,20,1972,36,North,0,Chomp Chomp Food Centre,"Located in Serangoon Gardens, Chomp Chomp Food Centre is well-known for its vibrant dinner and supper scene. Bustling with diners even till late at night, the 36 cooked food stalls in the small hawker centre serve popular local dishes such as Char Kway Teow, BBQ Chicken Wings, Seafood etc. This Centre attracts food lovers from all over the island.","20, Kensington Park Road, Singapore 557269"
1.343442138,103.7377812,254,30/4/1983,60,West,87,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 254 Jurong East Street 24 serves the marketing and dining needs of residents living in Yuhua Village.  There are 60 cooked food stalls and 87 market produce stalls operating within the hawker centre. Originally built in 1983.","Blk 254, Jurong East Street 24, Singapore 600254"
1.349642243,103.7184475,505,16/1/1985,60,West,130,Jurong West Street 52 Blk 505,"The hawker centre at Blk 505 Jurong West Street 52 was built in 1985.  Located in the heart of the Jurong West estate, the centre serves patrons from the nearby residential flats and schools.  Last upgraded in 2009, the centre comprises a total of 190 stalls - 60 cooked food and 130 market stalls.","Blk 505, Jurong West Street 52, Singapore 640505"
1.324738845,103.9305605,208B,15/11/2014,70,East,0,New Upper Changi Road Blk 208B,"Completed in 2014, this new food centre replaces the hawker centre at Blk 207 Upper Changi Road.  Also know as Bedok Interchange Hawker Centre,  it houses more seating areas for diners, more parking lots at the adjacent multi-storey carpark, and high-volume, low-speed cooling fans to provide patrons a more comfortable and cooler dining experience.  The centre also has NETS cashless payment system implemented at food stalls and free wireless internet connection via Wireless@SG for the convenience of patrons.","Blk 208B, New Upper Changi Road, Singapore 462208"
1.335231459,103.857036,22,2/3/1970,61,Central,59,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),"Built in 1970, the hawker centre at Blk 22 Lorong 7 Toa Payoh serves the Kim Keat residents and nearby industrial parks. There are 61 cooked food stalls and 59 market stalls in the hawker centre.  Be pampered by delicious hawker fare such as Oyster Omelette, Fishball Noodles, Zi Char etc!","Blk 22, Lorong 7 Toa Payoh, Singapore 310022"
1.368240493,103.8563514,453A,11/4/1979,39,North,113,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),"Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.","Blk 453A, Ang Mo Kio Ave 10, Singapore 561453"
1.324134223,103.814165,2,1974,32,Central,0,Adam Road Food Centre,"Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.","2, Adam Road, Singapore 289876"
1.280004812,103.8260133,112,1/1/1969,28,West,96,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),"Situated in the mature estate of Jalan Bukit Merah, the hawker centre at Blk 112 Jalan Bukit Merah satisfies both the marketing and dining needs of the residents nearby.","Blk 112, Jalan Bukit Merah, Singapore 160112"
1.372197433,103.8465192,724,31/1/1980,45,North,78,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),"Located conveniently in the heart of the bustling Ang Mo Kio Town Centre, the hawker centre is always packed with patrons, especially during the weekends.  Be prepared to queue for your favourite food at popular stalls!","Blk 724, Ang Mo Kio Ave 6, Singapore 560724"
1.306205841,103.850531,665,31/10/1980,119,Central,284,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),"More commonly known as Tekka Centre, the hawker centre is a popular haunt for marketing and dining needs, especially with the Indian community. An amazing variety of fresh produce is sold at the market.  Built in 1980, it is the second largest hawker centre in Singapore housing more than 400 stalls. An iconic landmark in the Little India area!","Blk 665, Buffalo Road, Singapore 210665"
1.377600535,103.7724896,2,31/7/2015,28,West,45,Bukit Panjang Hawker Centre,"Bukit Panjang Hawker Centre & Market is one of the 10 new centres announced by the Government. Among the 10 centres, it is the second to start operations, after the Hougang Ci Yuan Hawker Centre. Bukit Panjang Hawker Centre & Market has 28 cooked food stalls, 14 market slab stalls and 14 lock-up stalls located on both floors of the two-storeyed building.  It also has a sundry store on the second floor.","2 Bukit Panjang Ring Road, Singapore 679947"
1.341259706,103.6974043,50,28/7/2017,34,West,14,Jurong West Hawker Centre,"Completed in 2017, Jurong West Hawker Centre provides residents a comfortable and clean dining environment with natural ventilation and family-friendly features such as child-friendly toilet facilities and family-friendly seating, as well as tray-return facilities at accessible locations. To ensure affordable meals for the residents, all the stalls are serving at least two items priced at $2.80 or below.","Blk 50, Jurong West St 61, Singapore 648202"
1.317083351,103.879417,49,20/9/1976,66,East,78,Sims Place Blk 49 (Sims Vista Market and Food Centre),"Also known as Sims Vista Market and Food Centre, the hawker centre is nestled within the idyllic Sims Vista estate. Originally built in 1976, the hawker centre was upgraded in 2006 to improve its physical facade and provide a more hygienic environment for both stallholders and patrons alike. 66 cooked food stalls and 78 market stalls serve patrons of the hawker centre.","Blk 49, Sims Place, Singapore 380049"
1.282235148,103.8431776,335,31/5/1983,226,Central,477,Smith Street Blk 335 (Chinatown Complex Market),"Original built in 1983, Blk 335 Smith Street is also commonly known as Chinatown Complex. It is the largest hawker centre in Singapore comprising a total of 703 stalls! After upgrading in 2008, the building has been transformed into an architecture of strong Chinese influence with a modern twist. Situated in the Chinatown area, the centre now comes with better amenities and increased seating capacity. A favourite hang-out place for residents to reminisce good old days while enjoying the wide array of local dishes offered.","Blk 335, Smith Street, Singapore 050335"
1.374489121,103.8392143,160/162,30/6/1981,40,North,84,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),"Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.","Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162"
1.345639521,103.9446245,137,30/11/1982,45,East,99,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),"Blk 137 Tampines Street 11 is the only hawker centre in the Tampines area. Also commonly known as Tampines Round Market due to the unique circular shape of the hawker centre, it was built in 1982 to fulfill the marketing and dining needs of the resident in Tampines Town. Comprises 45 cooked food stalls and 99 market stalls. The hawker centre was voted by readers of Shin Min Daily as their favourite hawker centre for 2 years running (2008-2009) in the City Hawker Food Hunt contest.","Blk 137, Tampines Street 11, Singapore 521137"
1.439932832,103.8006964,676,8/5/2017,43,North,0,Kampung Admiralty Hawker Centre,"Built in 2017, the Kampung Admiralty Hawker Centre is a communal dining space which allows patrons to feast on Singapore’s favourite street food while learning the cultural diversity of our local food.  The centre consists of 43 cooked food stalls.  The centre features natural ventilation, family-friendly features, such as child-friendly toilet facilities.","Blk 676, Woodlands Drive 71, Singapore 730676"
1.277366838,103.8186417,11,19/10/1974,56,West,77,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),"The hawker centre was built in 1974 to serve the dining and marketing needs of residents living in the Telok Blangah area.  After its facelift in 2009, the upgraded centre boasts enhanced features such as ramps and wider circulation spaces for the physically challenged and elderly patrons.","Blk 11, Telok Blangah Crescent, Singapore 090011"
1.2852464,103.8458189,531A,28/1/1978,103,Central,40,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),"Also known as Hong Lim Food Centre, the hawker centre is famous for dishes such as Bak Ku Teh, Crayfish Hor Fun, Curry Chicken Noodles, Fish Head Bee Hoon etc. Expect to see long queues at different stalls, especially during lunch hours. Apart from the 103 cooked food stalls, the hawker centre also has 40 market stalls to serve the needs of the residents in the vicinity.","Blk 531A, Upper Cross Street, Singapore 051531"
1.285504783,103.8220494,115,29/3/1973,84,West,167,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),"Built in 1973, the hawker centre comprises 84 cooked food stalls and 167 market produce stalls. Located in Henderson area and near to office buildings, schools and residential flats, it is one of the largest hawker centres in Bukit Merah.","Blk 115, Bukit Merah View, Singapore 151115"
1.314367728,103.7708367,353,26/1/1978,18,West,96,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),"Built in 1978, the hawker centre has evolved into a focal point for residents to dine and engage in social bonding. Blk 353 Clementi Ave 2 comprises 18 cooked food stalls and 96 market stalls.","Blk 353, Clementi Ave 2, Singapore 120353"
1.37343414,103.951543,110,16/10/2017,42,East,0,Pasir Ris Central Hawker Centre,"Completed in Jan 2018, Pasir Ris Central Hawker Centre is a centre which houses 42 cooked food stalls across two levels. On the ground floor, 20 cooked food stalls will serve a variety of local hawker fare, while on the upper floor there will be 22 cooked food stalls serving modern cuisines. Along with a family dining area with child-friendly tables and chairs, and handicap friendly access, this centre also offers cashless payments.","Blk 110, Pasir Ris Central, Singapore 519641"
1.336038822,103.8529416,75,5/2/1968,36,Central,0,Toa Payoh Lorong 5 Blk 75,"Built in 1968, this standalone food centre at Blk 75 Lorong 5 Toa Payoh comprises 36 cooked food stalls.","Blk 75, Lorong 5 Toa Payoh, Singapore 310075"
1.32146226,103.8700044,69,16/1/1974,84,East,127,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),"Located near amenities such as swimming pool, industrial parks, commercial shops and residential estates, Blk 69 Geylang Bahru is a focal point where patrons get to enjoy local hawker fare at affordable prices. The hawker centre was built in 1974 and houses 84 cooked food stalls cum 127 market stalls.","Blk 69, Geylang Bahru, Singapore 330069"
1.359119422,103.8859776,209,30/9/1983,65,North,118,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),"Conveniently situated in the heartlands of Kovan, the hawker centre at Blk 209 Hougang Street 21 is minutes away from Kovan MRT. Built in 1983, the centre houses 65 cooked food stalls and 118 market stalls. Be prepared to queue for your favourite dish at the popular cooked food stalls within the hawker centre!","Blk 209, Hougang Street 21, Singapore 530209"
1.308117759,103.7927738,44,31/1/1999,45,West,61,Holland Drive Blk 44 (Holland Drive Market and Food Centre),"One of the last hawker centres to be built, Blk 44 Holland Drive has been serving the needs of residents since 1999. The two-storey hawker centre houses a market at the lower level and a food centre on the upper level. Conveniently located within walking distance from the Buona Vista MRT station.","Blk 44, Holland Drive, Singapore 270044"
1.310908028,103.7948629,1,Pre-War,21,West,48,Holland Village Market and Food Centre,"Situated right in the heart of Holland Village, the hawker centre was built in the pre-war years. One of the hawker centres with the longest history in Singapore! Surrounded by restaurants and bistros, the hawker centre remains a popular choice for patrons with its offering of affordable hawker fare. Comprises 21 cooked food stalls and 48 market stalls.","1, Lorong Mambong, Singapore 277700"
1.353837391,103.8900811,105,30/6/1982,51,North,120,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),"Also known as Hougang 105 Hainanese Village Centre, the hawker centre underwent a major facelift in 2005. A very popular hawker centre in the Hougang area, especially during the weekends. Serving the needs of both the residents of Lorong Ah Soo as well as the industrial area across at Defu Lane, there are currently 51 cooked food stalls and 120 market stalls within the centre.","Blk 105, Hougang Ave 1, Singapore 530105"
1.316159914,103.8502251,41A,18/12/1981,50,Central,74,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),"More commonly known as Pek Kio Market and Food Centre, the hawker centre was built in 1981 to serve residents staying nearby.  The centre was upgraded in 2003 and currently houses 50 cooked food stalls and 74 market stalls. Many stalls offer delicious yet suprisingly affordable dishes. Get ready for a gastronomic experience!","Blk 41A, Cambridge Road, Singapore 211041"
1.389151721,103.9882457,2&3,12/11/1975,87,East,50,Changi Village Blk 2 and 3,"Located at the eastern end of Singapore near to Changi Point Ferry Terminal and Changi Beach, the popular hawker centre draws food lovers from all over the island. Be wowed by the great variety of  hawker fare available e.g. Nasi Lemak, BBQ Seafood, Fried Wan Ton Noodles etc.  Built in 1975, this centre comprises 87 cooked food stalls and 50 market stalls.","Blk 2/3, Changi Village Road, Singapore 500002/500003"
1.331987069,103.9387326,85,30/6/1977,72,East,170,Bedok North Street 4 Blk 85 (85 Fengshan Centre),"A popular supper destination for night owls from all over the island.  The hawker centre features a wide array of hawker fare such as Bak Chor Mee, Porridge, BBQ Chicken Wings and Seafood, Fried Oysters etc.  Definitely a favourite haunt for the sleepless!","Blk 85, Bedok North Street 4, Singapore 460085"
1.283692589,103.8169924,163,5/5/1980,57,West,0,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),"Located in the heart of Bukit Merah Central, the food centre consists of 57 cooked food stalls. Extremely well liked by office executives working in the vicinity, the centre bustles with activity during lunch hours. Popular dishes include Ngoh Hiang, Chicken Rice, Teochew Porridge, Fish Soup, Char Kway Teow and Goreng Pisang. Be prepared to be spoilt for choice!","Blk 163, Bukit Merah Central, Singapore 150163"
1.276614611,103.843167,6,18/4/1977,52,Central,108,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),"Located near the Tanjong Pagar Plaza, the hawker centre serves some of the locals' favourite dishes such as Hainanese Chicken Rice, Curry Fish Head and Seafood Soup. Built in 1977, the centre has 52 cooked food stalls and 108 market stalls to serve the needs of the patrons.","Blk 6, Tanjong Pagar Plaza, Singapore 081006"
1.327849561,103.8871285,80,1/9/1967,16,East,43,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),"Built in 1967, the hawker centre at Blk 80 Circuit Road comprises 16 cooked food stalls and 43 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.","Blk 80, Circuit Road, Singapore 370080"
1.281595643,103.8489737,5,24/5/2017,53,Central,0,Market Street Interim Hawker Centre,Due to the redevelopment of Market Street Food Centre (Golden Shoe Carpark) an interim hawker centre has been built to ensure continuity of stallholders' business and availability of affordable food options for patrons in the vicinity.  The interim centre commenced operations on 1 Aug 2017.,"5, Cross Street, Singapore 048148"
1.366787645,103.8392313,226D,13/10/1976,10,North,101,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),"Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.","Blk 226D, Ang Mo Kio Ave 1, Singapore 564226"
